rep,id,eta_rho,eta_K,eta_kappa1,eta_kappa2,eta_theta,eta_X0,eta_Y0
10,13,0.448183,0.000170345,-0.000758203,6.56955e-13,0.000475296,-5.18458e-05,-0.00271297
1,14,0.0872647,-5.2826e-06,-0.000139698,0,0.000386863,-0.000184543,0.000497404
2,14,0.0840717,-0.000162892,-0.00211496,0,-1.7006e-06,1.50795e-05,0.00061338
3,14,0.119503,9.4792e-05,0.000819762,-1.3637e-12,0.000123529,-6.44336e-05,0.000701653
4,14,0.0617117,-0.00036405,-0.0008672,-1.02263e-12,-0.000204272,7.51541e-06,-0.00061174
5,14,0.0713464,-0.000530861,-0.00137567,-6.35869e-13,0.00055384,-0.000329963,0.000521398
6,14,0.104042,-0.000112837,-0.000558968,-4.28785e-13,0.00036662,1.72436e-07,0.00083788
7,14,0.0311397,-0.000325477,0.000228325,-1.06914e-12,0.000313167,7.91732e-05,-0.00317102
8,14,0.0448502,2.1435e-05,1.77887e-05,-1.66165e-12,2.3023e-05,-0.000245199,0.00124373
9,14,0.11825,0.000299512,0.000345298,7.33176e-13,-0.000375167,-0.000283656,0.00185868
10,14,0.0539053,-0.000208864,9.1943e-05,-1.1282e-12,-0.00069874,4.66982e-05,-0.000752196
