rep,id,eta_rP,eta_nC,eta_e,eta_KP,eta_rTA,eta_Kr,eta_KA,eta_lTA,eta_kA,eta_lTN,eta_rN,eta_km,eta_kb,eta_KN,eta_nP0,eta_nTA0,eta_nTN0,eta_nN0
8,7,0.926627,-0.941693,-0.173685,-1.022,-0.179235,-1.95695,-6.14183,0.135361,-0.037202,0.0887247,-0.134978,-3.85855,-0.440395,0.0239003,4.43554e-06,-6.05783e-05,6.00224e-07,-0.0232686
9,7,1.59812,-1.088,0.145674,-1.57952,0.202677,-1.00599,-3.55439,0.135498,0.332705,0.0885309,-0.0920828,4.70499,0.101402,-0.758643,-8.813e-07,-7.14418e-07,3.40746e-06,0.00860778
10,7,0.09664,-1.35101,-0.621128,-1.88604,-0.435266,1.05697,2.16242,0.135362,-0.403279,0.088683,-0.10406,-3.08966,-0.0766636,-0.662565,-3.77874e-06,5.58172e-05,2.40927e-06,-0.0786953
1,8,-1.34288,-1.31304,-0.266125,3.04389,-1.05991,-1.90073,-3.50631,-0.00742892,-1.17371,-0.111328,0.120341,3.50761,-0.220221,-1.23405,-4.85397e-06,-3.16572e-05,2.27079e-06,0.0834235
2,8,-2.15066,-1.41823,-0.161082,-1.15368,0.0630988,1.32057,-0.864775,-0.0073786,-0.0434023,-0.110514,0.17205,-2.16072,-0.67338,-0.652533,4.91017e-06,1.53867e-05,-1.45296e-05,0.0610587
3,8,-0.866429,0.0529021,-0.64212,-4.56684,-0.602047,0.362173,-5.05934,-0.00757433,-0.588741,-0.110318,-0.0658977,2.50112,-0.0739048,-0.429828,6.81407e-07,4.07139e-07,1.43319e-06,-0.0467298
4,8,-1.69594,-0.23327,1.08377,-0.927055,1.21374,0.441392,-0.555022,-0.0073932,1.2218,-0.110533,-0.0400826,-3.39851,0.0594263,0.731828,1.7702e-06,-4.69254e-05,-9.70924e-07,0.0588273
5,8,-0.413093,0.0214933,-0.319324,-3.05718,-0.327369,-0.657954,-0.529599,-0.00757051,-0.247877,-0.110404,-0.0899245,2.38209,-0.119888,0.50702,1.10881e-06,1.82508e-05,6.19028e-06,-0.0539125
6,8,-1.73385,-1.24786,-0.265796,3.04299,-1.06003,-1.90703,-3.49317,-0.00735188,-1.17316,-0.111163,0.110503,3.5399,-0.222091,-1.19856,-3.48069e-07,1.53962e-05,-9.07574e-06,0.0674293
7,8,-5.11068,-1.46919,-0.16075,-1.16255,0.0627086,1.31926,-0.798464,-0.00753761,-0.0434576,-0.11044,0.159423,2.39642,-0.629626,-0.607118,4.76352e-08,1.42556e-05,-3.17297e-06,0.0508817
8,8,-0.475892,0.108555,-0.641478,-4.98616,-0.602445,0.361239,-4.66097,-0.00766776,-0.588503,-0.110451,-0.0698786,-1.90571,-0.145134,-0.422127,1.37629e-07,7.84272e-06,5.84912e-06,-0.00364886
9,8,-2.18968,-0.298202,1.0837,-0.944293,1.21332,0.43813,-0.52403,-0.00763408,1.2219,-0.110577,-0.0298374,1.90873,-0.018731,0.800113,3.41751e-06,1.56829e-05,-4.49876e-06,0.0368474
10,8,-0.641452,0.863537,-0.318984,-3.04568,-0.327298,-0.65541,-0.420971,-0.00747022,-0.247826,-0.110368,-0.0889244,1.76299,-0.402896,0.511387,3.47361e-06,-8.71338e-05,-4.58577e-06,-0.0447775
1,9,2.47528,-0.596616,-0.167966,2.05917,-0.208422,0.694136,2.58339,-0.127517,-0.135822,0.0794881,0.0296604,-4.84237,-0.079539,0.1047,2.15585e-06,3.86813e-05,-5.35517e-06,-0.0970644
2,9,-0.488894,0.449154,-0.229114,1.48287,0.124157,1.99655,2.32004,-0.127354,-0.0603642,0.0794982,-0.0310107,4.03117,0.390315,-0.691385,-1.35312e-06,5.11773e-05,-2.60317e-07,-0.0307956
3,9,-2.96623,-0.0892812,-0.639287,-0.865018,-0.652704,-1.16188,4.88803,-0.127405,-0.105136,0.079438,-0.004906,0.423863,0.0813549,-0.836256,3.76161e-07,-4.87323e-05,4.70043e-06,0.0113593
4,9,2.19889,-1.46516,0.414885,-0.303702,0.539993,-0.0659452,-0.347889,-0.12763,0.623314,0.0794318,0.218443,-2.52685,-0.540608,-0.0383485,4.71365e-06,-9.0639e-06,-1.77642e-06,0.0348096
5,9,4.80159,1.09631,-0.184217,0.219533,-0.785551,2.31813,-8.39978,-0.127844,-0.994182,0.0796332,-0.0697696,-4.08753,1.18598,0.161413,4.46871e-06,-3.5756e-05,-5.32516e-06,-0.0967147
6,9,2.47439,-0.598377,-0.168367,2.05832,-0.208583,0.694767,2.58588,-0.127603,-0.135937,0.0795371,0.0326064,-1.19058,-0.113566,0.111748,-3.34751e-06,-6.17183e-08,4.17561e-07,-0.102
7,9,-0.696027,0.0265669,-0.228872,1.48425,0.1244,1.99523,2.31968,-0.127799,-0.0601957,0.0796886,-0.0289158,3.81219,0.548056,-0.603751,-1.25051e-06,4.4632e-05,-4.44285e-06,-0.0488389
8,9,-3.82096,-0.0955049,-0.639495,-0.879888,-0.652361,-1.14759,4.89024,-0.127558,-0.104655,0.0796998,0.00265781,-4.53184,-0.0660708,-0.815968,-1.6315e-06,-3.29769e-06,1.25615e-05,0.02864
9,9,2.1805,-1.4609,0.41486,-0.325509,0.539904,-0.0644271,-0.532037,-0.127714,0.622009,0.0794978,0.219998,-2.18725,-0.523025,-0.0803307,5.22968e-06,2.9062e-05,-2.01795e-06,0.0499086
10,9,4.80159,1.09631,-0.184288,0.217564,-0.785494,2.31702,-8.33973,-0.127589,-0.993994,0.0797429,-0.0778825,-0.863214,1.84041,0.174193,-7.2026e-07,-3.50629e-05,-1.06273e-05,-0.0967809
